NOM,LIEU,MAIL
Le Spot Kitecenter,Hyères,contact@kitesurf-var.com
Wimkite School,Wissant,ecolewimkite@gmail.com
NKS 56,Plouharnel,contact@nks56.com
Rêve de Glisse,Plouharnel,revedeglisse@gmail.com
UpAndKite,Quiberon,upandkite@yahoo.com
Kite Spirit,Quiberon,ecole@kite-spirit.com
WestGliss,Pentrez,westgliss@gmail.com
Le Spot Wingfoil Windsurf School,Crots,contact@spot-wingfoil.com
Association Voile et Nautisme 04,Sainte-Croix-du-Verdon,infos@voileverdon.fr
Centre Nautique de Fréhel,Sables-d'Or-les-Pins,cnfrehel@gmail.com
49ème Parallèle Navigation,Erquy,49emeparallele@gmail.com
Le Sloop d'Erquy,Erquy,lasaintejeanne@gmail.com
Pure Nautic Dahouët,Pléneuf-Val-André,dahouet@pure-nautic.com
Club Nautique de Saint-Jacut,Saint-Jacut-de-la-Mer,club.nautique.saintjacut@gmail.com
Cap Sensations,Carnac-Plage,capsensations@gmail.com
Nautisme en Pays Blanc,Mesquer,nautismeenpaysblanc@gmail.com
Yakavélo,La Plaine-sur-Mer,sandrine@yakaveloloc.com
Camargue Excursions,Saintes-Maries-de-la-Mer,ppjpexcursions@gmail.com
Camargue Nautique Club,Saintes-Maries-de-la-Mer,contact@camarguenautiqueclub.com
Les Quatre Maries,Saintes-Maries-de-la-Mer,bateaux-les-4-maries@orange.fr
Bateau Le Camargue,Saintes-Maries-de-la-Mer,contact@bateau-camargue.com
LBC Nautic,Carqueiranne,contact@location-bateau-carqueiranne.fr
Agay JET,Agay,agay.jet@gmail.com
Jet Style Agay,Agay,jet.style@orange.fr
JetFunEvasion,Saint-Aygulf,jetfunevasion@gmail.com
Capitaine Plaisance,Saint-Aygulf,location@capitaine-plaisance.fr
AJC Boat,Les Issambres,ajc@ajc-boat.com
PRO JET et BOAT,Les Issambres,pro.jet83@yahoo.com
Kart Jet Adventure,Les Issambres,kart.jet.adventure@gmail.com
BM Yachting,Théoule-sur-Mer,hello@bmyachting.fr
Blue Hat Boat Rental,Saint-Jean-Cap-Ferrat,rental@bluehatboatrental.com
Sealux Yachting,Saint-Jean-Cap-Ferrat,info@sealuxyachting.com
JetMala Watersports,Cap-d'Ail,jetmalamonaco@gmail.com
Just for You evasion,Rayol-Canadel-sur-Mer,justforyou.evasion@gmail.com
Location Bateaux Ramatuelle,Ramatuelle,location.bateaux.ramatuelle@free.fr
Team Water Sport,Ramatuelle,info@teamwatersport.fr
Sun Force,Ramatuelle,sunforce@sunforce.fr
RIO et FILS,La Croix-Valmer,contact@rioetfils.com
Cagnes Watersports,Cros-de-Cagnes,contact@cwatersports.com
Wake Spot,Cros-de-Cagnes,contact@wake-spot.com
Club de Voile de Doussard,Doussard,clubnautique.doussard2@gmail.com
Veyrier Club Nautique,Veyrier-du-Lac,contact@veyrierclubnautique.fr
SRV Annecy,Annecy,srva@srva.info
Yacht Club Chambéry Le Bourget du Lac,Le Bourget-du-Lac,info@ycbl.fr
Société Nautique du Léman Français,Thonon-les-Bains,snlf.thonon@wanadoo.fr
Club de Voile d'Évian,Évian-les-Bains,info@voile-evian.fr
Centre de Yachting à Voile de Pareloup,Salles-Curan,reservation@cyvp.com
Nautic Club Limousin,Royère-de-Vassivière,nautic-club-limousin23@orange.fr
Base Nautique du Salagou,Celles,base.nautique.salagou@gmail.com
École de Voile Départementale de Braucourt,Éclaron-Braucourt-Sainte-Livière,cchm.der@wanadoo.fr
ASG Voile Gérardmer,Gérardmer,asg.voile@orange.fr
YCGC Base Nautique Lac de Paladru,Charavines,contact@ycgc.org
Club de Voile de Vouglans,Orgelet,cvvouglans39@gmail.com
GUC Voile Monteynard,Treffort,gucvoile@gmail.com
Le Club Nautique Saint-Cassien,Saint-Cassien,leponton@leclubnautique.fr
CNA Voile Club Nautique Aubois,Mesnil-Saint-Père,contact@cnavoile.com
Centre Nautique Biscarrosse Olympique,Biscarrosse,accueil@cnbo.fr
Club de Voile de Sanguinet,Sanguinet,contact@cvsanguinet.org
Cercle de Voile de Cazaux Lac,Cazaux,cvcl@cvcl.fr
Club Nautique Hourtin Médoc,Hourtin,capitainerie.cnhm@gmail.com
Club de Voile Hourtin Médoc,Hourtin,cvhmhourtin@orange.fr
Cercle de la Voile de Bordeaux Carcans-Maubuisson,Carcans,cerclevoilebordeaux@orange.fr
Club Nautique de Naussac Langogne,Langogne,cnnaussac@gmail.com
St Alban Plage,Saint-Alban-de-Montbel,stalbanplage@free.fr
Cercle Nautique des Amis du Der,Sainte-Marie-du-Lac-Nuisement,contact@cnader-asso.org
Allo Canoës,Brantôme en Périgord,allocanoes@gmail.com
TEX Canoë Port Boinot,Niort,tex.location.vente@gmail.com
Canoë Drôme,Saillans,contact@canoe-drome.com
Amazone Canoë,Le Teich,contact@amazonecanoe.com
Courant d'Eyre,Biganos,info@courantdeyre.com
La Fourmy Canoë-Kayak,Bonneuil-Matours,lafourmycanoe@gmail.com
ASVOLT,Entraygues-sur-Truyère,activites@asvolt.fr
Jarnac Sports Canoë Kayak,Jarnac,jarnacjsck@gmail.com
Cognac Canoë Club,Cognac,cognaccanoeclub16@gmail.com
Canotika Tourisme,Château-Gontier,infos@canotika.fr
Canoë-Kayak Montreuil-Juigné,Montreuil-Juigné,contact@cckmj.org
Canoë Kayak La Flèche,La Flèche,location@canoe-kayak-lafleche.fr
FoxaGliss,Murs-et-Gélignieux,contact@foxagliss.com
Base Canoë de Longeville,Ambronay,canoe01500@gmail.com
Latitude Canoë,Montgesoye,latitudecanoe@gmail.com
Canoë Val d'Allier,Lavoûte-Chilhac,contact@canoe-valdallier.com
Canoë Kayak Dole,Dole,canoekayakdole@gmail.com
Chinon-Canoë,Chinon,contact@chinon-canoe.fr
Canoë Hérault Montana,Agonès,contact@canoe-montana.com
Kryzalid'Nature,Bréhémont,contact@knature.fr
Aigue Vive Canoë Kayak,Mostuejouls,aiguevive.canoekayak@yahoo.fr
Bambou Aventure Canoë,Les Vans,oterrain07@gmail.com
3 Éléments Kayak,Saint-Père-sur-Loire,troiselements@gmail.com
Moussac Canoë-Kayak,Moussac-sur-Vienne,moussac.ck@orange.fr
CCC Compagnie de Canoë du Chassezac,Les Assions,contact@ccc-canoe.com
Base Canoë Kayak de Confolens,Confolens,canoeconfolens@gmail.com
Cano et Co,Saugnac-et-Muret,vainsyl33@hotmail.com
Canoë Castor Drôme,Die,canoecastor@gmail.com
H2O Aventure,Belin-Béliet,h2oaventure33@gmail.com
Tiki Dive,Cavalaire-sur-Mer,contact@tiki-dive.com
Iléo Porquerolles,Porquerolles,alex@ileo-porquerolles.fr
Cap Plongée,Six-Fours-les-Plages,cap-plongee@hotmail.com
Sanary Plongée,Sanary-sur-Mer,contact@sanary-plongee.com
Centre de Plongée du Pradet,Le Pradet,plongee.pradet@gmail.com
Lecques Aquanaut,Saint-Cyr-sur-Mer,lac@lecques-aquanaut.fr
Plongée Privilège Bormes,Bormes-les-Mimosas,pascal.juppet@wanadoo.fr
Easy Dive Cannes,Cannes,easydive@easydive.fr
Dune Esterel,Théoule-sur-Mer,esterel@dune-world.com
Subvision Plongée,Golfe-Juan,contact@subvision-plongee.com
Diamond Diving,Golfe-Juan,info@diamonddiving.net
Cap July,Beaulieu-sur-Mer,info@capjuly.com
Palmes Beach,Menton,info@palmesbeachmenton.fr
Côte Bleue Plongée,Sausset-les-Pins,bleue.diving@wanadoo.fr
Pons Plongée,Sète,ponsplongee@gmail.com
École de Plongée Sétoise,Sète,contactepsetoise@gmail.com
Poséidon Plongée Port-Camargue,Le Grau-du-Roi,poseidonplongee@gmail.com
La Palanquée,La Grande-Motte,lapalanqueeplongee@gmail.com
Euro Plongée Gruissan,Gruissan,info@plongee-gruissan.fr
Leucate Plongée,Leucate,info@leucateplongee.fr
Plongée 66 CAP,Port-Vendres,contact@plongee66.com
Scuba Passion,Port-Vendres,scuba.passion@libertysurf.fr
Gurekin Plongée,Saint-Jean-de-Luz,centre@gurekin-plongee.com
Tech Océan,Ciboure,techocean.socoa@gmail.com
BAB Subaquatique,Biarritz,contact@babsubaquatique.fr
